measurement_source_value,count
ImpSkin #3 [Drain],25877
ImpSkin #3 [Length],2215
ImpSkin #3 [Width],2762
ImpSkin #4 [Amount],4253
ImpSkin #4 [Drain],10954
ImpSkin #4 [Length],1143
ImpSkin #4 [Width],1423
ImpSkin #5 [Amount],2033
ImpSkin #5 [Drain],5199
ImpSkin #5 [Length],473
ImpSkin #5 [Width],604
ImpSkin #6 [Amount],503
ImpSkin #6 [Drain],1312
ImpSkin #6 [Length],116
ImpSkin #6 [Width],143
ImpSkin Character #1,135582
ImpSkin Character #2,72163
ImpSkin Character #3,37012
ImpSkin Character #4,14800
ImpSkin Character #5,6936
ImpSkin Character #6,1753
Imp Skin Cleanse #1,47874
Imp Skin Cleanse #2,24597
Imp Skin Cleanse #3,12394
Imp Skin Cleanse #4,5128
Imp Skin Cleanse #5,2201
Imp Skin Cleanse #6,567
ImpSkin Treatment #1,156828
ImpSkin Treatment #2,82579
ImpSkin Treatment #3,42330
ImpSkin Treatment #4,17179
ImpSkin Treatment #5,7953
ImpSkin Treatment #6,1955
ImpSkin Wound Base#1,102283
ImpSkin Wound Base#2,56027
ImpSkin Wound Base#3,28138
ImpSkin Wound Base#4,11506
ImpSkin Wound Base#5,5290
ImpSkin Wound Base#6,1360
INAMRINONE MCG/KG/MN,25
Inc #1 [Amount],65969
Inc #1 [Appearance],134222
Inc #1 [Closure],159183
Inc #1 [Drainage],224805
Inc #1 [Dressing],269441
Inc #1 [Status],209174
Inc #2 [Amount],20199
Inc #2 [Appearance],45754
Inc #2 [Closure],54102
Inc #2 [Drainage],116910
Inc #2 [Dressing],143384
Inc #2 [Status],121280
Inc #3 [Amount],12700
Inc #3 [Appearance],36347
Inc #3 [Closure],41537
Inc #3 [Drainage],78237
Inc #3 [Dressing],91238
Inc #3 [Status],69366
Inc #4 [Amount],5501
Inc #4 [Appearance],13141
Inc #4 [Closure],15200
Inc #4 [Drainage],25129
Inc #4 [Dressing],27798
Inc #4 [Status],20438
Inc #5 [Amount],2828
Inc #5 [Appearance],4941
Inc #5 [Closure],5732
Inc #5 [Drainage],8372
Inc #5 [Dressing],9298
Inc #5 [Status],6712
Inc #6 [Amount],687
Inc #6 [Appearance],1500
Inc #6 [Closure],1853
Inc #6 [Drainage],2500
Inc #6 [Dressing],2706
Inc #6 [Status],1818
Inc Cleansing #1,11460
Inc Cleansing #2,4338
Inc Cleansing #3,2335
Inc Cleansing #4,812
Inc Cleansing #5,312
Inc Cleansing #6,97
Incentive spir,1
incentive spirometer,11
INCENTIVE SPIROMETER,21
incentive spirometry,24
Incentive spirometry,21
Incentive Spirometry,104022
INCENTIVE SPIROMETRY,19
incentive spiromety,1
incision,21
Incision Appearance #1,155340
Incision Appearance #2,61913
Incision Appearance #3,20309
Incision Appearance #4,7049
Incision Appearance #5,2237
Incision Appearance #6,836
Incision Cleansing #1,79144
Incision Cleansing #2,30867
Incision Cleansing #3,11231
Incision Cleansing #4,4385
Incision Cleansing #5,1523
Incision Cleansing #6,569
Incision Closure #1,145989
Incision Closure #2,58059
Incision Closure #3,18611
Incision Closure #4,6374
Incision Closure #5,1958
Incision Closure #6,741
Incision Drainage #1,139021
Incision Drainage #2,55563
Incision Drainage #3,18035
Incision Drainage #4,6248
Incision Drainage #5,1974
Incision Drainage #6,742
Incision Drainage Amount #1,112435
Incision Drainage Amount #2,41324
Incision Drainage Amount #3,14246
Incision Drainage Amount #4,5322
Incision Drainage Amount #5,1790
Incision Drainage Amount #6,642
Incision Dressing #1,135205
Incision Dressing #2,55448
Incision Dressing #3,18056
Incision Dressing #4,6260
Incision Dressing #5,1997
Incision Dressing #6,744
Incision Packing #1,30643
Incision Packing #2,11365
Incision Packing #3,3896
Incision Packing #4,1674
Incision Packing #5,358
Incision Packing #6,311
Incision Site #1,146945
Incision Site #2,59084
Incision Site #3,19039
Incision Site #4,6482
Incision Site #5,2076
Incision Site #6,754
incision sites,20
Incision sites,14
Incision to Drainage,21
Incision/Wound #1,396686
Incision/Wound #2,189247
Incision/Wound #3,116010
Incision/Wound #4,37050
Incision/Wound #5,12412
Incision/Wound #6,4146
Incontinent (estimate),6848
inc urine,3
Inc/Wound Packing #1,2820
Inc/Wound Packing #2,721
Inc/Wound Packing #3,268
Inc/Wound Packing #4,169
Inc/Wound Packing #5,141
Inc/Wound Packing #6,22
index,1
Indirect Bili(0-1.0),18856
Indomethacin,7
Indomethacin/Indocin,1704
Indwelling (PortaCath) Port #1,1551
Indwelling (PortaCath) Port #2,833
Indwelling (PortaCath) Port Type,7581
Indwelling Port (PortaCath) Discontinued,26
Indwelling Port (PortaCath) Dressing Occlusive,8191
Indwelling Port (PortaCath) Site Appear,8303
INEXSUFF,3
in-exsufflator,64
inexsufflator,26
InExsufflator,9
Infant ABO/Rh,34
Infant Position,522681
Infant's Behavior,27753
Influenza A/B by DFA,912
Influenza A/B by DFA - Bronch Lavage,31
Influenza A/B by DFA - Bronch Wash,1
Infusate Drops/Minute,648
Infusion Pressure of Line,665
Inhaled Nitric Oxide,337
inhaled ve,3
Inhibitor Screen,162
inital bath,2
initial bath,9
Initials (2 RNs) [RN #1],2892
Initials (2 RNs) [RN #2],1178
In-line Suction Catheter Changed,491
inner cannula,39
Inner canula,1
INO,29
INO alarms,15
INO LEVEL,38
INO PRESS,9
INO TANK,9
INO Tank Press,8
INO TANK PRESS,14
Inpatient Hematology/Oncology Smear,685
INR,199501
INR (2-4 ref. range),135398
INR(PT),471176
insentive spir,21
Insomnia,27456
Inspiratory Ratio,206396
Inspiratory Time,365735
Inspired Gas Temp,344788
Inspired Gas Temp.,124406
Inspired O2 Fraction,556180
% Inspir. Time,6330
Insp press mius PEEP,5
insp pressure      e,1
insp time,8
Insp time,28
Insp. time,1
Insp Time %,33868
Insp. Time,93
Insp.Time,11
INSP TIME,4
insp. vt,4
INS time,2
insulin,18
Insulin,17
Insulin Guideline,38781
Integrellin cc/hr,3
intermit pacer beats,19
Intervention,441
InterventionAssess,21190
INTRAABDOM. PRESSURE,4
IntraABd pressure,1
INTRA ABD PRESSURE,1
Intra Aortic Ballon Pump Setting,2147
Intra Aortic Balloon Pump Setting,6499
Intra Cranial Pressure,91943
Intra Cranial Pressure #2,1052
Intra Cranial Pressure #2 Alarm - High,116
Intra Cranial Pressure #2 Alarm - Low,122
Intra Cranial Pressure Alarm - High,4275
Intra Cranial Pressure Alarm - Low,4343
INTRATHECAL,31
intrathecal cath,1
intrathecal catheter,211
INTRATHECAL CATHL2-3,10
intrathecal drain,16
INTRATHECAL PRESSURE,14
Intrinsic peep,1
Intubated,163680
Intubated_ApacheIV,8
Intubation - Details,1
INV#1 WaveformAppear,268347
INV#2 WaveformAppear,215007
INV#3 WaveformAppear,98384
INV#4 WaveformAppear,40807
INV#5 WaveformAppear,15606
INV#6 WaveformAppear,5743
INV#7 WaveformAppear,2205
INV#8 WaveformAppear,462
INV Line#1 [Site],472344
INV Line#1SiteAppear,411185
INV Line#1 [Type],483680
INV Line#1 Zero/Cal,188338
INV Line#2 [Site],364545
INV Line#2SiteAppear,315170
INV Line#2 [Type],372970
INV Line#2 Zero/Cal,148431
INV Line#3 [Site],195107
INV Line#3SiteAppear,165467
INV Line#3 [Type],199461
INV Line#3 Zero/Cal,66411
INV Line#4 [Site],84360
INV Line#4SiteAppear,70074
INV Line#4 [Type],86082
INV Line#4 Zero/Cal,26398
INV Line#5 [Site],32162
INV Line#5SiteAppear,26032
INV Line#5 [Type],32940
INV Line#5 Zero/Cal,9604
INV Line#6 [Site],11785
INV Line#6SiteAppear,9475
INV Line#6 [Type],12059
INV Line#6 Zero/Cal,3438
INV Line#7 [Site],4675
INV Line#7SiteAppear,3772
INV Line#7 [Type],4794
INV Line#7 Zero/Cal,1331
INV Line#8 [Site],1274
INV Line#8SiteAppear,958
INV Line#8 [Type],1284
INV Line#8 Zero/Cal,203
IoCa,1
IO Dressing,97
Ion Calcium,95
ionized calcium,1
Ionized calcium,2
Ionized Calcium,228461
IO Placed in outside facility,112
IO Site Appearance,99
IO Wristband in place,80
IPPB,4
IPV,9
Iron,18205
IRON  45-160,1
"Iron Binding Capacity, Total",17229
Iron Stain,340
ir output,2
I.R. output,2
IR output,2
IR Output,2
IR OUTPUT,3
IRRIGAGANT OUT,7
IRRIGANT AND URINE,3
irrigate pericardial,11
irrigate pigtail,25
IRRIGATE PIGTAIL,26
IRRIG FOLEY 50ML NS,17
IR SHEATH ABP,9
IR Sheath MAP,3
I/S,2
IS,8
Isolate,9
isoproterenol,62
Isoproterenol,15
isuprel,9
Isuprel,37
ISUPREL,58
Isuprel 1mcg/min,12
I.T,7
ITBVI (PiCCO),1
I time,63
I-Time,23
I TIME,1
I time set,10
ITRATHECAL,29
IV #1 [Location],713939
IV #1 Reason DC'D,17940
IV #1 [Site],355945
IV #1 [Size],340411
IV #2 [Location],311000
IV #2 Reason DC'D,13062
IV #2 [Site],272373
IV #2 [Size],260253
IV #3 [Location],179748
IV #3 Reason DC'D,6550
IV #3 [Site],126037
IV #3 [Size],119981
IV #4 [Location],70242
IV #4 Reason DC'D,2037
IV #4 [Site],44500
IV #4 [Size],42778
IV #5 [Location],16848
iv diuril,27
IV Drip Dose #1,4746
IV Drip Dose #2,3545
IV Drip Medication#1,4767
IV Drip Medication#2,3536
IVF,10
IVIG,12
IV infiltrate,23
IV Lasix,2
ivp,1
IVPPI,24
IV/Saline lock,272720
IV Site #1,354261
IV Site #2,153917
IV Site #3,89037
IV Site #4,34782
IV Site #5,8337
IV Site Appear #1,297069
IV Site Appear #2,226826
IV Site Appear #3,100709
IV Site Appear #4,37359
IV Zantac,11
Jackson Pratt #1,21665
Jackson Pratt #2,7273
Jackson Pratt #3,2798
Jackson Pratt #4,1059
jejunostomy,9
Jejunostomy,432
jobst bra,1
"Joint Crystals, Birefringence",234
"Joint Crystals, Location",234
"Joint Crystals, Number",591
"Joint Crystals, Shape",234
JOINT FLUID,505
JP,21
jp #1,1
JP #1,36
JP 1,23
JP 1&2,15
JP #1&#2 CLWS,21
JP #1 & #2 to CLWS,23
JP#1&2 to CLWS,18
JP #1 Lateral,20
JP #1 R,10
JP #1 R SITE/DRAINAG,32
JP#1superficial,13
jp #2,3
JP #2,36
JP 2,20
JP#2deep,19
JP #2 L,10
JP#2 L SITE/DRAINAGE,32
JP #2 Medial,23
JP #3,6
JP #3+#4,6
JP 5 and JP 6 sxn,29
JP / Brain,10
jp drain,4
JP drain,46
JP DRAIN,20
JP DRAIN/R LEG,2
jp drains to wall sx,21
JP flush,3
JP FLUSH,13
JP Lateral,5406
JP LATERAL,62
JP L AX,28
JP LEFT,8
jp left abdomen,7
jp left breast,6
JP LEFT LEG #2,11
JP L FEM,29
JP Medial,6364
JP MEDIAL,70
JPO2,62
JP Other,40
JP POUCH SITE,7
JP R AX,27
JP REPLETION-LR,28
JP repl w/Na Bicarb,25
JP R FEM,28
JP RIGHT,11
jp right abdomen,7
jp right breast,6
JP RIGHT LEG #1,8
jp's 1&2,10
JP Site,2
JP Site.,14
JP SITE,2
JP site drainage,2
jt flush 20cc q 8 hs,7
j tube,5
j-tube,12
J-tube,2
J-tube.,1
J TUBE,8
J-Tube Drainage,5
J Tube feeding,3
j tube flush,9
j-tube flush,87
J-tube flush,33
Jtube flush,5
J Tube Flush,24
J-tube NS 10cc/h.,37
J tube port,18
JTUBE SITE DRAINAGE,11
J Tube to Gravity,12
JV O2 Sat,14
JVO2 SAT,9
Kangaroo Care [Time],8965
Kangaroo Care [Tolerated],6414
Kappa,988
KCL,22
KCL-10 MEQ-DIALYSIS,12
KCl Supps,85
KCL supps,99
Keflex,144
Keflex pg/po,30
Ketamine,146
KETAMINE,1
Ketamine 100mg/50ml,153
KETAMINE 200mgm/50ML,55
ketamine mg/hr,15
KETAMINE MG/HR,143
Ketone,101624
Kg removed,2
Knee Abrasions,25
KneeImmobilizeLoc [Left],9118
KneeImmobilizeLoc [Right],11831
Knee Immobilizer Status,4308
Knee Location - CPM,484
Knee Location - Immobilizer,13552
Known difficult intubation,101329
K phos,100
Kphos,13
K Phos,14
KPhos,22
KPHOS,24
k phosphate,11
K Phosphate,42
KPhosphate,25
k phosphorus,121
KUB,1050
lab draw,1
Labetalol mcg/kg/min,1
labial drng,44
lab results,1
Lab results,2
labs drawn,2
lab svo2,2
laceration,24
lacrilube,29
Lacrilube,87
lacrilube ointment,10
Lacrilube ointment,18
Lacrilube Ointment,354
Lacrimation,713
Lactate,187116
"Lactate Dehydrogenase, Ascites",1243
"Lactate Dehydrogenase, CSF",642
Lactate Dehydrogenase (LD),107120
"Lactate Dehydrogenase, Pleural",2502
lactated ringers,1
Lactation Consult,4
Lactic Acid,132703
Lactic Acid(0.5-2.0),73371
Lambda,987
L AND R CALF DRSG,10
L AND R HEEL DRSG,8
Language,122062
L ankle dsg change,1
LAP,24
Large Platelets,6580
L arm elevated,50
L ARM ELEVATION,34
L.ARM ELEVATION,11
L arm Fistula,41
L ARM SLING,13
L. ARM SLING,10
L arm: thrill/bruit,17
lasix,22
Lasix,68
LASIX,9
Latch On,27824
LATERAL DRAIN SITE,1
Lavage,1
LAVAGE,6
L AVF-BRUIT/THRILL,10
L AV fistula,29
L AV fistula Bruit,25
L breast doppler,19
L chest incision,52
L Chest Tube #1,22
L Chest Tube #2,22
l chest tube #3,49
L Chest Tube #3,21
L Chest Tube #4,21
L chest tube site,18
L CT drainage site,8
L CT DRAINAGE SITE,1
L CT SITE BAG DRNG,14
LCW,165688
LCWI,164036
L&D bands(s) on,111082
"LD, Body Fluid",424
LDH,46377
"LD, Joint Fluid",10
LDL calculated,1414
LDL measured,143
LeadII cardiac strip,1
LE Bathing,316
LE Dressing,488
leech therapy,53
LEECH THERAPY,118
LEFT ABD JP,14
left ankle drsg ch,12
Left Antecub Pouch,20
left arm drainage,39
Left arm drainage,22
Left Arm Drainage.,10
Left Arm drains.,18
Left arm Edema,3
Left Arm Girth (cm),5
left arm laceration,8
Left Arm Massage,5
left arm pouch,5
LEFT ARM POUCH,41
left arm sling,28
LEFT AV FISTULA,12
left AV thrill/bruit,41
LEFT AXILLA PULSE,64
left breast doppler,34
left chest drain,11
Left Chest drng bag,10
left drain,12
left eye,6
LEFT FEM ABP,50
left fem. aline,27
left femerol artery,32
Left Femoral Drain,12
left flap check,41
left foot dressing,9
left groin pressure,14
Left Hand Drain,5
left hand pouch,8
left head dsg.,27
left hydrocele,75
left icp,6
LEFT JP,11
Left lateral decub,4
Left Lateral decub,1
left leg drainage,11
LEFT LEG DRAINAGE,4
LEFT LEG DRSG,4
left leg measurement,1
left  lower leg cast,61
left neck jp,5
left nephrostomy,28
Left nephro. tube,1
Left neprhrostomy,88
left pleuracentesis,2
Left pleural CT #2,4
LEFT PLEURAL EFFUSIN,2
LEFT PLEURAL FLUID,2
left pleural tap,4
Left pleural tap,1
LEFT PLEURAL TAP,2
left pl tap,2
left radial ABP,41
left radial MAP,41
LEFT SUBDURAL DRAIN,5
left thigh hematoma,10
left thoracentesis,3
LEFT THORACENTESIS,3
left vent drain,1
Left Ventricular Assit Device Flow,24
Legal Guardian,5693
leg drain,19
leg dressings,3
LEG DSD CHANGE,10
leg dsg w-d packing,13
Leg Raise Result (NICOM),115
leg retraints,3
LEG ROLL,62
LEG VAC DRSGS,9
Length   Calc   (cm),388
Length Calc Inches,148995
Length in cm,148996
Length in Inches,407
Length of Urine Collection,46834
lepirudin,134
Lepirudin,72
LEPIRUDIN,1
lepirudin  mg/hr,9
LEPIRUDIN MG/HR,70
lepirudin mg/kg/hr,35
lepirudin mgs/kg/hr,42
leprudin,1
Lesions,197834
Less Restrictive Measures,716079
Less Restrictive Measures (Acute Med/Surgical),5426
Less Restrictive Measures (Behavioral),539
Less Restrictive Measures_V1,43474
Less Restrict Meas.,255459
Leucine Crystals,2
Leukocyte Alkaline Phosphatase,61
Leukocytes,97625
Level of Conscious,1032728
Level of Consciousness,507889
level one,2
LEVOFLOXACIN,18301
Levothyroxin (T4),19
LFEMABP,19
L FEM ALINE,6
(L) FEM ART,10
L fem art bp,13
L FEM ART BP,11
L fem art line,13
L FEM ART LINE,26
lf flap pulse,2
L foot CSM check,7
LFT's,3
L girth size,1
L GROIN DRAINAGE,13
L GROIN DRNG,3
L Hand Grasp,52
l.heel drsg change E,1
L heel protect boot,13
L HEEL W-D,23
L ICP,47
Lidocaine,5
ligation incision,63
ligation site,107
Light Green Top Hold,5597
linen change,92
line placement,2
LINEZOLID,1385
lipase,1
Lipase,75225
"Lipase, Ascites",14
"Lipase, Body Fluid",12
"Lipase, Pleural",1
liperudin,5
Lipid Change Q 12 hr,8521
lipirudin,28
Lips,658
Lithium,890
lithium level,1
Lithium level,2
Liver,16
LIVER FLAPPING,15
liver JP x2 combined,13
LLcalf w->d drsg chg,44
LLE Cast care,3
LLE circumference,5
LLE [Color],71243
LLE Color,151929
LLE Drainage bag,6
LLE drsg change,3
L LEG JP,4
L leg perfusion,55
L LEG THIGH DRAIN,4
L LEG WAFFLE BOOT,12
L Leg Wound,29
LLE [Sensation],38644
LLE Sensation,71328
LLE [Temp],72510
LLE Temp,158706
LLL Lung Sounds,1293639
L. lower abd. kidney,3
L LOWER LEG DRAIN,5
LLQ Paracentesis sit,18
LL Strength/Movement,767725
L nare,37
L Nephrostomy,1179
L neph tube irrig,9
lochia,8
Lochia Character,198
Lochia Estimate,252
logroll,9
loinc weight,3618991
lo MV,4
Long term care custodial non-Medicare certified,13
Loperamide,27
LO Press,5
Lorazepam/Ativan,216
LOS pre-ICU admission,7
Lower leg splint,11
Lowest Heart Rate,67072
Lowest SaO2,64613
low exhaled min. vol,2
Low exhaled min vol,5
Low Exhaled Min Vol,390855
Low Exhaled Vt,3840
low insp press,4
low insp pressure,30
low insp. pressure,3
Low insp pressure,26
Low Insp. Pressure,89487
low IP,11
Low MAP alarm,7
low me,1
Low minute volume,8
low min vol,12
LOW MIN VOL,2
low mv,1
low MV,9
Low MV,4
LOW MV,4
low NO,25
Low NO alarm,5
low peep,5
Low Peep,4162
LOW PEEP,6
low press,44
low pressure,32
Low pressure,17
Low Pressure,3
LOW PRESSURE,6
Low pressure Alarm,2
Low risk (25-50) interventions,1966
low rr,1
Low time,159
low Vt,1
LOW VT,6
LP/ CSF REMOVED,50
LP drainage,2
L Pleural #1,3938
L Pleural #2,460
L PLEURALCENTESIS,2
L. PLEURAL CT,11
l pleural tap,5
L pleural tap,4
L. Pleural tap,2
L. Pleural Tap,1
L PLEURAL TAP,3
LR,21
L rad art BP,14
L RADIAL AV FISTULA,10
L&R DECUB DRSG CHGE,7
l/r heel drsg change,22
L side/pleural fluid,3
L stump dsg changed,4
Lt. arm BP S/D,1
lt arm sling,13
LT. AVF BRUIT/THRILL,49
lt av fistula,27
lt av fistula bruit,26
Lt groin drainage bg,15
LT GROIN OSTOMY BAG,3
Lt hand splint &ace,16
Lt hernia repair,55
L thigh circumferenc,13
L Thoracentesis,2
lt. lat. decub,3
LT NEPHROSTOMY TUBE.,2
LT paracentesis,1
LT PLEURAL CT IRRIG,8
LUA AV fistula,5
LUC,4
LUE AV fistula,54
LUE [Color],37524
LUE Color,147131
LUE drainbag,20
LUE elevated,29
LUE fistula,19
LUE fistula thrill,10
LUE [Sensation],37960
LUE Sensation,72330
LUE [Temp],38272
LUE Temp,153609
LUL Lung Sounds,1302808
L ulnar ABP,16
Lumbar,2890
lumbar drain,572
Lumbar drain,104
Lumbar Drain,62
LUMBAR DRAIN,200
Lumbar drain level,28
Lumbar drain output,29
LUMBAR DRAIN OUTPUT,88
Lumbar open/clamped,69
lumbar pressure,175
Lumbar Puncture,499
l upper body drsg,1
Lupus Anticoagulant,554
L Ureteral Stent,49
LU Strength/Movement,769632
Luteinizing Hormone,229
LVAD Flow LPM,1645
lvad svr,10
LVSW,175054
LVSWI,173298
lymphedema sleeve,57
Lymphocytes,180742
"Lymphocytes, Percent",2378
Lymphs,12889
LYMPHS,8360
lytes,52
Lytes,24
LYTES,8
"Lytes,ABG,Bili",1
lytes and bili,5
LYTES AND BILI,4
"lytes,bili",7
"Lytes,Bili",3
"LYTES, BILI",1
"LYTES,BILI",6
"LYTES,BILI,LIVER PRF",1
"Lytes, Phenobarb",1
"Lytes.Tbili,ABG",1
"Lytes,Trig,Bili",1
Macrocytes,60837
MacroOvalocytes,80
Macrophage,4732
Macrophages,1528
Macro Prolactin,6
Magnesium,966724
Magnesium (1.6-2.6),197635
"Magnesium, Body Fluid",12
Magnesium Sulfate,4
"Magnesium, Urine",431
Mag sulfate,4
Maintainence IVF,1
Mammary Binder On,17
mammary support,372
MAMMARY SUPPORT,102
Mammary Support Bra,14
mammo support,14
Manual Blood Pressure Diastolic Left,655
Manual Blood Pressure Diastolic Right,473
Manual Blood Pressure Systolic Left,722
Manual Blood Pressure Systolic Right,534
Manual BP [Diastolic],2150
Manual BP Mean(calc),2344
Manual BP [Systolic],2563
map,10
MAP,10
MapApacheIIScore,19
MapApacheIIValue,18
MAP_ApacheIV,7
MapScore_ApacheIV,8
MARCAINE .25/4CC SC,36
Marijuana,377
mask,6
mask/sz,3
MAWP Alarm [High],26329
MAWP Alarm [Low],26589
mcgs Fentanyl IV,3
MCH,747994
MCHC,748147
MCV,747977
MDI #1 Drug,62802
MDI #1 [Drug],169916
MDI #1 Puff,45614
MDI #1 [Puff],171590
MDI #2 Drug,30019
MDI #2 [Drug],82559
MDI #2 Puff,21638
MDI #2 [Puff],83234
MDI #3 Drug,1379
MDI #3 [Drug],6448
MDI #3 Puff,952
MDI #3 [Puff],6666
MDI #4,3
MDI # 4 (drug/puffs),1
MEAN AIRWAY PRESS,28
Mean Airway Pressure,849340
Mean PAW,35644
Mean PAW [Meas],226367
MEASURED PEEP,17
Mech. Minute Volume,41
med drainage bag,6
Mediastinal,5267
Medication Added #1 (Peritoneal Dialysis),449
Medication Added #2 (Peritoneal Dialysis),109
Medication Added Amount  #1 (Peritoneal Dialysis),169
Medication Added Amount  #2 (Peritoneal Dialysis),79
Medication Added Units #1 (Peritoneal Dialysis),119
Medication Added Units #2 (Peritoneal Dialysis),22
Medication Bolus - Adjunctive Pain Management,163
Medication Infusion Rate - Adjunctive Pain Management,997
meds,11
Med Wasted [Amount],1265
Med Wasted [Drug],2956
Mental status,271870
Meperidine mg/hr,12
Merepenum,30
meropenem,85
Meropenem,124
MEROPENEM,12576
meropnem,14
Mesothelial Cell,2061
Mesothelial cells,520
Mesothelial Cells,1536
metabolic labs,2
Metamyelocytes,59264
methadone,100
methadone mg /hr,563
"Methadone, Urine",9263
Methemoglobin,2047
methhemoglobin,1
Methotrexate,406
methylene blue test,1
Methylhemaglobin,1
METHYLPRED 450MG/HR,24
methylprednisolone,58
Methylprednisolone,44
metoclopramide,155
Metoclopramide,173
Metocloprimide,15
Metoclopromide,250
metronizadole,12
METROWEST OUTPUT,2
MgSO4,3
MgSO4          mg/hr,20
mg Versed IV,2
Miconazole,132
miconazole cream,12
Miconazole Pdr,13
Miconazole Pdr.,13
miconazole powder,266
Miconazole powder,171
Miconazole Powder,104
MICONAZOLE POWDER,21
Miconazole pwdr,19
miconozole powder,32
Miconozole powder,22
Microcytes,58059
Micro-Neb Treatment,37550
Micro-Neb tx,1
Midazolam,122
Midazolam/Versed,259
midazolin iv,2
M-Ideal Body Wgt Kg,23
Midline Discontinued,55
Midline Dressing Occlusive,6721
Midline placed in outside facility,6207
Midline Placement Confirmed by X-ray,4507
Midline Site Appear,7460
Midline Tip Cultured,170
Migh Min Volume,17
Mineral oil,10
Mineral Oil,15
Mineral oil/ skin,11
MINERVA BRACE,32
Mini-BAL,483
Minimal Leak Present,621
MINUTE VOL. HIGH,1
Minute Volume,450009
Minute Volume Alarm - High,456337
Minute Volume Alarm - Low,455960
Minute Volume(Obser),405820
Minute Volume (Set),8117
min vol,12
"Miscellaneous, Ascites",8
"Miscellaneous, Body Fluid",59
"Miscellaneous, CSF",64
"Miscellaneous, Pleural",7
mist tent,28
mitoclopramide,11
Mitrazole powder,8
mitrazole pwd,15
mitrazol powder,11
mittens,12
mitts,53
MIVED VENOUS O2 SAT,4
mixed venous,2
MIXED VENOUS,4
mixed venous 02,1
Mixed Venous O2,10844
Mixed Venous O2% Sat,52971
Mixed Venous SaO2,2
MIXED VENOUS SAT,1
Mix Venous CO2(calc),989
Mix Venous PCO2,989
Mix Venous pH,990
Mix Venous PO2,989
Mix Venous Sat,1
mlti podus boots,120
MMV rate,15
MMV tidal volume,14
Mode,387650
Molding,532
Mom held Infant,76736
Mom in to Visit,172771
Money Management,160
mong.spot,29
monilial rash,46
Monocyte Count,6
Monocytes,180859
Monos,12736
MONOs,8360
Moro Reflex,160634
Morphine Sulfate,1660
Motor Deficit,5763
Motor Deficits,420
Motor L Arm,16775
Motor L Leg,16761
Motor R Arm,16839
Motor Response,950038
Motor R Leg,16767
Mottles,863
Mouth Care,68481
mouth flap color,48
mouth flap pulse,45
moves legs well,12
MPB,10
MP boots,36
MRI,65
MRSA SCREEN,28564
Mucamyst,4
mucocous fstula,100
Muco lavg,1
mucomyst,37
Mucomyst,44
Mucomyst mcg/kg/min,11
mucomyst mg/hr,30
Mucomyst       mg/hr,56
Mucomyst mg/hr,138
mucomyst mg/kg/hr,121
Mucos fistula,3
mucous fistula,237
Mucous fistula,3
MUCOUS FISTULA,56
mucous fistula L,17
MUCOUS FISTULA(LOWER,12
mucous fistula stoma,32
mucumyst,2
mucus fistula,10
mulitpodis boots,3
mulitpodus,14
mulitpodus boots,17
multi drsg changes,16
Multi Lumen Dressing Occlusive,144018
Multi Lumen Line Discontinued,1561
Multi Lumen Line Tip Cultured,3878
Multi Lumen placed in outside facility,140058
Multi Lumen Placement Confirmed by X-ray,114743
Multi Lumen Site Appear,159594
Multi Lumen Waveform Appear,115037
Multi Lumen Zero/Calibrate,35785
multi podis boot,26
multi-podis boot,12
Multi podis boot,89
Multipodis Boot,1
multi podis boots,73
multi-podis boots,85
multipodis boots,69
Multi podis boots,74
Multi-podis boots,34
Multi podis Boots,14
Multipodis Boots,11
Multi-Podis boots,9
MULTIPODIS BOOTS,18
multipodis splints,22
Multipodos,23
multipodous boots,76
multi podus,18
multipodus,84
Multipodus,40
Multi-Podus,2
multipodus boot,181
Multi podus boot,153
MultiPodus Boot,21
MULTIPODUS BOOT,21
MULTIPODUS BOOT RT,11
multi podus boots,115
multipodus boots,667
Multipodus boots,96
Multipodus boots.,56
Multipodus Boots,59
MULTIPODUS BOOTS,183
MULTIPODUS SPLINT,116
multipodus splints,131
Multipodus Splints,2
MultiPodus Splints,23
MULTI PODUS SPLINTS,15
Multivitamin,18
multivitamins,18
Multi-Vitamins,2851
MULTPODIS SPLINT,14
mupirocin ointment,18
mupricin,10
Murmur Description,103
Murmur Intensity,91267
Muscle Aches,707
Muscle Tone,438820
Muscular Abnormality,25087
mushroom catheter,7
mv,10
MV,60
MV hi,8
MV Hi,5
MV HI,6
MV-HI,2
MVI,20
mvo2,3
MVO2,73
MVO2 SAT,7
myconazole,27
Myconazole Pdr.,9
Myconizole powder,9
Myconizol Powder,24
mycostatin powder,11
Myelocytes,59187
MYELOS,2
Mylanta,66
Mylicon,46
Myoclonic Jerks,61
"Myoglobin, Urine",283
Na bicarb,3
Na Bicarbonate,1210
N-Acetylprocainamide (NAPA),195
nacl,18
NaCl,31
Nacl supp,26
NaCl supp,106
Na Cl supps,36
NaCl Supps,70
NACL SUPPS,77
naHCO3,16
NAHCO3- MEQ/HR,27
Nailbed circulation,15
NAIL SCRAPINGS,2
narcan,3
Narcan,7
NARCAN MG/HR,34
Narcotic Analgesic,7203
Nares Care,12
Nares L,303843
Nares [Left],864
Nares Patent [Left],77
Nares Patent [Right],71
Nares R,315041
Nares [Right],995
NAS,17
nasal cannula,6
Nasal Congestion,1295
